Score_Rank,amfi_code,scheme_name,fund_house,category,CAGR_1Y,CAGR_3Y,CAGR_5Y,Sharpe_Ratio,Sortino_Ratio,Alpha,Beta,Max_Drawdown,expense_ratio_pct,Tracking_Error,Fund_Score
11,149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,0.21497414349538224,0.26863103668817145,,1.1434895599140866,1.893929072818848,0.2659863259119087,-0.016011964466757456,-0.17248105753451382,1.61,0.2228523115145428,69.0
12,118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,0.340078958236512,0.22646647456747715,,1.0959175992660923,1.8745209746203788,0.2060309306429927,0.01872593471983499,-0.17414075086657232,1.51,0.19015267081595214,67.8125
13,118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,0.25559539940517384,0.21084691029380598,,0.6596198173038668,1.1802639217756734,0.16765036618121051,-0.013330695410496474,-0.18629743138595511,0.72,0.2009092307104606,62.1875
14,101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,0.4796379447633372,0.28960211096593724,,1.0410608155745142,1.8238221245494706,0.19842738138380495,0.022519910525152186,-0.11291596329323073,1.6,0.19290571277059762,61.4375
15,119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,0.057101178520777784,0.16263375081360643,,0.9677516848309506,1.6342152696671461,0.1861590363427286,0.02620179169165638,-0.11803493502764295,0.66,0.19153276608045644,60.75
16,125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,0.286975804558778,0.18429918008610047,,0.7895427197023165,1.3542397613311947,0.1731787077334344,0.01981595834693809,-0.15200013055606398,0.92,0.19830294435563148,56.375
17,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,0.14279834500870736,0.14744434832760533,,0.9393621577599311,1.6557875841042122,0.22481220081998013,0.004111256554596869,-0.1527259422823477,1.52,0.20757362290533382,55.1875
18,120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,0.4185299002066023,0.18417429266835228,,0.6621241011051734,1.1182652693628488,0.16598513265626624,0.004643030170033722,-0.1982565826298267,1.41,0.20711355580823057,53.75
19,119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,0.19781538524100495,0.20811559826631898,,0.14404122210428397,0.245694880564703,0.08074677186393747,0.018318227895833334,-0.21751396370148224,0.75,0.19435904369996843,52.75
20,118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,0.22510248103762276,0.2000321571698329,,0.6803950621402518,1.1645718432365222,0.11105530102215272,0.012645598926999149,-0.1165062450540909,0.89,0.18423817144652177,52.625
21,120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity,0.08495135972254553,0.13974980348212673,,0.8125023019488139,1.362304341034919,0.19015450090206398,0.008462385879668065,-0.13897862823061635,1.42,0.1928278085694437,50.75
22,102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,0.1359304393755194,0.25549670172502026,,0.632319243278044,1.1112531868716369,0.12763193766967693,0.021610998913301635,-0.21539827112383225,1.64,0.20985142138133403,49.8125
23,125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,0.15455077019290386,0.11242518737374207,,0.31160409740522227,0.5274180707346514,0.10882328243852316,-0.00013700940138985365,-0.21117279560132118,0.78,0.22818378662395164,46.875
24,102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity,0.20222858595384663,0.19662361245910964,,0.8328147683762688,1.4633559194130312,0.16148219625419835,0.005008378304336268,-0.1085986215250232,1.57,0.19005173238818082,46.625
25,118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,0.158228664455887,0.080060298597036,,0.4564261243061777,0.7593103107066205,0.17515697192808533,-0.03145263268584393,-0.2334488614483311,1.53,0.2866679179554151,44.5625
26,120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,0.07430320855847317,0.07392538786263403,,0.9041623305389642,1.918995139070102,0.06760199865613882,-0.00142947974478992,-0.0009773140045925555,0.74,0.13610043997901233,43.625
27,149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,0.1812461925339035,0.1803973982038829,,0.4780917280523983,0.7852114290495582,0.12462433117111894,0.024671389114036036,-0.14844576917771746,1.54,0.19462696860023102,41.9375
28,120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,0.1684955152939842,0.1726301444443794,,0.5092559163430059,0.8887219510725977,0.06311978072767352,0.03564035096540483,-0.1757361416468729,1.59,0.17909448310959503,37.625
29,120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt,0.07125369741102916,0.06694394239074852,,0.30425182333434436,0.643569798664919,0.06411668430685011,0.0008110929344949408,-0.0011629327956168556,0.6,0.13567156758839471,36.125
30,119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,0.13957994357447734,-0.01337083602283895,,-0.049101169454301964,-0.08104211157829276,0.042679982020814126,0.043773085737081774,-0.5257422117012851,0.72,0.2766888778105457,33.0625
31,101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,-0.24000309180292634,-0.04151453816140693,,0.17048069518831582,0.2899434627844258,0.0885342291118372,0.06299944558552746,-0.3544691649336603,1.53,0.28627511185428334,30.6875
32,119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,-0.42819495166622135,-0.11703299329834216,,-0.0679256784693741,-0.11460687214622653,0.07878238723804235,0.04582686222390912,-0.5167775370852656,1.38,0.2810399211800043,30.375
33,118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt,0.1046246278808034,0.04061259859840338,,-0.30601321923949243,-0.5264477441439438,0.06456285212600585,-0.01033331344203922,-0.08316361763638702,0.55,0.14356912687408946,29.875
34,120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,0.22518986942465924,0.0775416750547262,,0.08727318479040212,0.14318971047142431,0.03692798332367637,-0.06878050470227927,-0.24003511326274884,1.56,0.22548653736317056,28.75
35,119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,0.05525880326360788,0.05838988442093762,,-0.17572336328229415,-0.29220634613009644,0.0570522079797004,0.0056309881210469485,-0.04328728923970093,0.77,0.1393507458926735,27.25
36,101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,0.07241777200393584,0.06314299292105274,,-0.41722938246152713,-0.8599882960465483,0.06092163110595347,-0.0004973963666171933,-0.0016224980244717857,0.79,0.13595138711305474,24.75
37,100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt,0.03707552701889649,0.03915479354684703,,-0.5154378235861931,-0.8560302343201754,0.046871134653306265,-0.008821762725762928,-0.04308263824636349,0.56,0.14312936177000038,24.5
38,100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity,-0.022257773892688015,0.012923525892154508,,-0.18765046878624,-0.32689151971851854,0.03940725023233633,0.03648728431773967,-0.24734440880673303,1.55,0.19645133864715728,21.5
39,102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,-0.16807959958672036,-0.007672319440258146,,-0.1947073805832031,-0.32845657532234623,0.014987784094064763,0.020113037781286935,-0.2800112356639287,1.51,0.22093682590147143,20.9375
40,119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity,0.0161022963455828,0.005257668501786883,,0.04524532299034367,0.0772693998927021,0.03308906679187477,-0.027485610845652382,-0.1440161790933726,1.64,0.1915186745275266,14.6875
